task_id,team_velocity,burn_down_gap,issue_churn,scope_change_pct,backlog_aging,blockers,lead_time,cycle_time,open_defects,closed_defects,external_dependencies,delayed
1,33.97371322408986,-2.1187984101135164,1,1.9526296731104564,13.644427026329463,1,1.0,5.662399261318932,2,3,2,0
2,28.89388559063052,-2.2670705419192703,1,4.949589736238949,36.130807834767865,0,8.675578473380508,5.5836081660797285,3,3,1,0
3,35.18150830480554,-8.978215863150075,1,8.38741800827321,27.306027791124244,1,5.4212560292367575,3.0908967423417253,7,4,3,0
4,42.184238851264205,-1.6504509585071863,4,19.89726083082836,28.962785583732785,0,7.145781524999853,5.453341097556075,5,5,1,1
5,28.126773002213312,3.664145409108725,4,4.5624338710715975,18.96697216360591,3,5.906632045834132,8.463876420941464,2,4,1,0
6,28.126904344406555,-6.371160595383976,4,8.666009349605616,25.112357322611427,2,6.097990562048481,2.5831086853278906,0,4,1,1
7,42.63370252405913,5.242413255252963,6,1.6230072049233795,11.042953994014368,3,7.544047883397845,4.628555011478475,2,2,2,0
8,36.13947783322327,2.4388741054216907,3,13.927608620665149,26.662585402503062,0,9.685847109813736,2.6518485512028995,1,8,1,0
9,26.244204912520384,-3.6711666098551894,4,15.281272203523194,17.955973926862608,3,12.707117852025512,8.232934007399994,2,4,1,0
10,34.34048034868772,-0.7076481866892371,4,21.637911586554175,9.780164649856744,1,8.690238439479042,2.640262926325577,4,4,2,1
11,26.292658457500302,7.991609038205166,1,20.477899962549102,19.772333287807704,1,6.841897714821505,3.592573032995119,1,2,2,1
12,26.274161971437945,3.6677390675293293,2,7.134448867097013,17.079459697501104,1,7.257288267821707,2.6810845877814273,4,9,2,0
13,31.935698172528273,0.04391827449073908,1,3.4238422297464934,43.230693272209166,1,11.065260337346523,2.235047694374592,3,3,1,0
14,14.693758042737617,-1.1884165848049215,2,3.9020795552600935,24.353942484799116,0,9.496493184052488,5.184318568546199,3,4,0,1
15,16.200657339895738,0.38304535225829806,1,24.224098576011112,35.79717467448222,0,4.441067123958107,4.299976161234551,0,4,0,1
16,25.501699766072218,-2.558817789711517,8,16.830645350183936,31.312871063587266,1,6.105179456577529,5.701943929137922,0,5,1,1
17,21.89735103732461,-10.523747528595074,2,1.0642696950809827,20.377805997974992,2,8.25280517922462,6.242583828063443,1,7,0,1
18,32.51397866076219,10.210889552673654,2,3.4194813761273646,15.562807970699552,1,7.5230526238883915,1.6369348164764577,6,7,1,0
19,22.735807395830314,0.7766249959970073,6,12.145001627523893,2.597734187996771,0,6.393684413132025,5.603754545351487,0,8,0,1
20,18.701570389317666,1.9907363256126855,2,5.195720107327995,11.290564493352601,1,7.479607445373003,3.1745350839621764,3,5,0,1
21,41.72519015137243,-0.2895387493845436,2,20.091474625000473,26.627534577542143,1,8.893952992289575,5.287798841104955,2,5,4,1
22,28.193789596107713,-3.67558400362294,0,14.330427939234122,16.97869614879297,1,9.205674512806755,5.6674859289829715,2,6,1,0
23,30.54022563750339,-0.9296224047438537,1,15.31580519473246,23.758203257384416,0,8.176281329911705,4.482205447938913,1,8,1,1
24,18.602014510292346,-7.996973810971556,1,11.570638701230296,1.0,1,10.816182966156202,7.633225838855724,2,9,1,1
25,25.64493820379854,11.385432490266522,4,6.401569385657887,24.535148490973732,2,9.402827235408381,2.1342970654798465,2,12,1,0
26,30.88738071767893,-6.17255999211198,2,14.735090330063663,30.964815571992858,2,4.994221874552368,2.74815162476847,2,6,0,0
27,20.79205138062158,-5.159831419235897,5,17.924251154018293,2.242417101937466,1,7.035134282568252,5.487899281462859,0,3,4,1
28,33.00558414676537,-2.201296021932002,3,9.273701940754172,23.715639063567995,3,7.6319514190383035,9.223791447621979,0,8,0,0
29,25.194890480649562,6.4403786242618875,3,12.623590765445883,33.43534653608461,1,7.579155990901276,3.117244672017322,1,5,0,1
30,27.666450001653786,0.07254499631327069,5,20.99209926180083,36.80086649339466,1,5.675483276569241,4.86946711987054,2,5,0,1
31,25.186347102164824,-6.180678980152312,3,3.717044045561507,14.965009291420404,0,6.404564469137899,7.381870383478853,0,3,1,0
32,44.818225476071504,6.271691803786697,3,13.630610481852509,27.79930344611534,3,10.75640209220208,6.832225722386717,1,6,1,0
33,29.892022202096527,3.6550031339274067,5,8.710316545730704,34.29789820005415,4,5.085780048462021,6.230001836334397,2,4,3,1
34,21.538312568352797,2.692174786082262,4,17.569868955430763,24.013813907803787,2,7.1687591913188164,3.561151599065264,5,4,0,1
35,36.58035929682551,3.578671205854202,1,0.47025607905986644,32.850775889968105,0,11.801439389893916,4.949166253369877,4,5,1,0
36,20.233250800231822,11.971809502912254,4,16.761832495079716,19.641383466616997,0,7.832420398330435,5.059272985015493,2,4,2,1
37,31.670908760038042,10.925474475180561,3,2.572443350404685,23.943141437707972,1,15.220897011938845,7.086313980884908,3,8,0,0
38,14.322639008961795,-3.4335767150164767,1,1.61919382484145,13.783907735377976,0,12.896053690961956,4.734024316434594,2,8,1,0
39,19.374511608812554,8.119424964055762,3,18.115582523965323,18.35399842326241,1,1.5330730002184847,7.711967876548474,3,4,2,1
40,31.574889886952988,1.9158409487945016,2,16.008553822601836,24.337161698763637,0,4.7776383631803965,4.890731489902939,1,4,1,0
41,35.907732639963285,2.495479080688747,3,22.373398272316468,13.033806749542324,0,8.232975969229548,5.278809427717362,2,3,0,1
42,31.370946249519765,-8.461354158216643,1,12.991373895016128,17.76413626859246,1,7.095519349114851,4.74381449368628,0,3,2,0
43,29.074813740894076,-0.8519288269409798,1,13.250610638179177,27.608736809468034,3,10.154591378221244,4.64513748266627,2,1,0,0
44,27.59117043528569,-4.0641179516828245,2,17.675445889413762,40.525575331761004,2,9.980462252794405,4.857818251164506,0,2,1,1
